Size,SequentialTime(ms),MultiThreadTime(ms)
10,149.469,46.3769
20,296.409,93.941
30,461.214,155.212
40,678.863,337.194
50,922.532,361.879
60,1208.48,412.42
70,2000.26,578.05
80,2079.34,496.491
90,1674.49,554.495
100,1786.66,573.119
110,1721.44,563.93
120,2038.94,654.769
130,2289.86,717.473
140,2375.93,996.746
150,2861.5,1050
160,3274.37,846.581
170,3062.04,898.962
180,3469.53,983.411
190,3395.26,1049.53
200,3603.98,1246.62
210,4445.19,2248.76
220,4601.81,1222.41
230,4225.64,1380.79
240,4552.21,1384.7
250,4856.88,1524.01
260,4831.51,1478.29
270,5084.94,1514
280,5030.24,1670.11
290,5553.86,1721.29
300,5905.41,1786.62
310,6224.88,2072.27
320,6080.28,1957.16
330,6356.37,2097.72
340,6467.23,1935.38
350,6812.1,2028.21
360,7052.45,1950
370,7192.02,2218.44
380,7266.2,2311.3
390,8784.8,3112.18
400,9678.37,4616.18
410,15569,3400.89
420,11709.6,2184.77
430,9225.57,2750.24
440,10075.8,3254.1
450,9270.93,2292.41
460,8569.37,2609.54
470,8577.1,2825.76
480,10865.6,4139.6
490,13877.9,5384.97
500,10348.5,3316.22
510,10488.8,3680.18
520,10775.9,3938.37
530,11434.3,4046.27
540,12549.4,3907.75
550,11627.4,3917.93
560,13529.5,5123.68
570,18002.1,4807.08
580,12865.3,4717.52
590,15433.5,5202.06
600,14448.5,5064.07
610,13700.1,4623.49
620,13776.7,4431.77
630,14398.1,4791.44
640,14567.2,4421.01
650,15207.9,4841
660,15399.2,4384.69
670,16159.6,4264.21
680,13703.5,3985.26
690,13782.6,4108.72
700,14519.9,3947.8
710,14453.7,3970.23
720,14421.2,4041.87
730,14747.1,4477.89
740,15362.4,4268.25
750,14788.8,4428.86
760,15321.5,4359.83
770,15782.2,4388.68
780,15470.2,4387.07
790,15754.7,4239.73
800,16366.6,4396.63
810,16467.1,4514.86
820,16291.5,4637.96
830,16487.5,5145.82
840,16749.4,4729.44
850,16939.2,5133.12
860,17229.8,5668.54
870,17264,5205.04
880,17615.4,4959.53
890,18175.6,5244.84
900,17955,5271.08
910,17656.5,5283.44
920,18602.2,5521.26
930,18134.5,5355.88
940,18627.5,5373.05
950,19110,5584.39
960,18974.2,5621.09
970,18956.1,6646.55
980,19463.9,6042.97
990,19550.8,5903.41
1000,20226.9,5987.99
